RVI,date
1.03429969156552,2025-02-19
0.9950802964800495,2025-03-03
0.5931250949143078,2025-03-15
0.5605143784468164,2025-03-27
0.5552400657821634,2025-04-08
0.44304015684900466,2025-04-20
0.46975744296609145,2025-05-02
0.4501661328134856,2025-05-14
0.4696878799894493,2025-05-26
0.4183242474694187,2025-06-07
0.41429786683081604,2025-06-19
0.6097330269284122,2025-07-01
0.9201461455164748,2025-07-13
0.8348376840811247,2025-07-25
0.9594573026416003,2025-08-06
0.6397856077325096,2025-08-18
0.8752918082677291,2025-08-30
0.7546764942508734,2025-09-11
0.6485434997146878,2025-09-23
0.7874308131437987,2025-10-05
0.6013969727702738,2025-10-17
0.6547070343876442,2025-10-29
0.6593078632023275,2025-11-10
0.5631766807772447,2025-11-22
0.8874506363142061,2025-12-04
0.8207733878079873,2025-12-16
0.883351270327173,2025-12-28
1.284246329547846,2026-01-09
1.1033970779564,2026-01-21
1.0831229197877608,2026-02-02
1.2128198832548744,2026-02-14
