bare,built,crops,date,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water
0.03609841902276375,0.6560065761684779,0.09440975801002922,2025-03-06,0.029876980452111984,0.035095715088688265,0.050893500996078346,0.03696535346130717,0.026236817315376484,0.03437929355264588
0.03281078949399105,0.7005645585673804,0.06923663632383664,2025-03-11,0.025736787401451484,0.030241791586979174,0.04451847765960889,0.034934658616469036,0.028803681618163046,0.033115739093778115
0.04679502706451359,0.5733631196132779,0.12883478097777304,2025-03-15,0.030765336020485156,0.03232961072455127,0.08187209079529742,0.03996547583606619,0.030154162037024066,0.03588139938957743
0.034556358009273334,0.7045689353312761,0.07571119760180259,2025-03-18,0.023836459129716395,0.029087744416279093,0.04243240290246049,0.036213308529097675,0.023570512139971987,0.02998637285264825
0.04771070878010283,0.6677798751841184,0.07184817867384186,2025-03-23,0.031131340649468972,0.03280671206901549,0.04757443235940696,0.03816432584785705,0.028750536875153356,0.03419695751510438
0.04145479467350869,0.628561127430421,0.11358253262005746,2025-03-28,0.026208771747253994,0.030610942883301448,0.05915578355951337,0.03851108802761871,0.02794112614871082,0.03393496399491938
0.040959519802850126,0.6755138315388399,0.05919744362999204,2025-03-31,0.027575955725422457,0.028032751337059483,0.06194296498233456,0.03831269691852894,0.03321248170010118,0.03521590612641056
0.04072194867365392,0.6332953371819144,0.0898370807788591,2025-04-05,0.03247111183359392,0.03403765414483701,0.06448960958593584,0.037388173315718407,0.031044779479123135,0.0366771013699183
0.03522020083062891,0.7040265968597244,0.0666309469849233,2025-04-10,0.024690995909869572,0.02920167884711359,0.044360093152780056,0.035162128439392364,0.026419185952852184,0.034253182224943876
0.03641117175182582,0.7091249859279255,0.05993524328526681,2025-04-15,0.02724427449278102,0.03151439050782136,0.04333099513393049,0.03399544347095413,0.025885562658764794,0.03252393184192778
0.034882702799927126,0.7030505900790482,0.06259692695825056,2025-04-17,0.026041310819680422,0.03224197377370588,0.04702351095886772,0.034304656799777615,0.02666026453670211,0.03316497929429295
0.034468231982053996,0.7275583564294409,0.056254359630492044,2025-04-20,0.022698281917656535,0.027265627056015804,0.04196611601704577,0.03319370364682951,0.024754010804674535,0.0318075807972174
0.04277408839217638,0.6565852793149646,0.10023865209829345,2025-04-24,0.026266310499977463,0.03350297153330094,0.04957876030561843,0.0375747510638904,0.021603631833640995,0.03183693276008093
0.06897088988570794,0.4426233664576771,0.21500703780910183,2025-04-27,0.031474481656918074,0.031078321966151703,0.0946618859132993,0.04498870261383595,0.02938124386098644,0.041771572845190355
0.0551074602287538,0.5787684442101432,0.14996132776911575,2025-05-02,0.02931789809782396,0.03536441186032012,0.055890775367629236,0.03686523799738234,0.02338588399839677,0.035301530161887945
0.04462538747612651,0.6495087420337698,0.11260460344258774,2025-05-07,0.023348876357622096,0.0322566498308349,0.046012424985931125,0.036824547059136827,0.022979894176915424,0.03179988393739665
0.04497708273941024,0.6609152839893929,0.06978040078593968,2025-05-10,0.029008374886418845,0.02996802420330297,0.06203540767823748,0.03732015822402791,0.02880436426011364,0.03715487999026483
0.042268269178730236,0.6996714225396878,0.05626340852487101,2025-06-03,0.027245151210536885,0.041758759000666806,0.03383471134909412,0.037149120837594925,0.03013692868722194,0.031636269545874396
0.04046385978836874,0.6718859186347652,0.04754242383319321,2025-08-22,0.03402966877742968,0.05336236630310533,0.037304036773951464,0.03794216246322161,0.04440267207867181,0.03302718417009914
0.03824635893813043,0.6816512177477381,0.04676863593431193,2025-10-09,0.03314981251599838,0.04968901222078578,0.036353166002671126,0.0389516836398048,0.04054600564611556,0.0346072746606048
0.03609671145337099,0.6958812459783292,0.036725009417318835,2025-10-17,0.03501164716710157,0.041085455315332274,0.03625249213628134,0.03601936011273845,0.047234235314589035,0.035657788513238836
0.04406287774797668,0.6318597324363094,0.061789001328648535,2025-11-08,0.0381034040795029,0.05596562383917544,0.04727177455921692,0.040383068447136336,0.04069832079270704,0.03982528930767661
0.036574103152860644,0.7024836907473383,0.043183029138893006,2025-11-11,0.033024288725682936,0.039068982326684744,0.03703543887943343,0.03558237055123952,0.03560445058883991,0.037406537554773564
0.03261194614137332,0.7221782386034109,0.03947689836561881,2025-11-16,0.03121306061090901,0.03689779293330996,0.033644352033527905,0.03525290621720657,0.03269618184736388,0.035991950320380335
0.035374267256303354,0.7030147357852622,0.045119815887735226,2025-11-21,0.03341621582527467,0.03979402151298345,0.03956907304415313,0.03358068959088603,0.032382668287911046,0.03771069039599294
0.034078153993614003,0.7104496664585358,0.044573867896954715,2025-11-23,0.03215072524683472,0.0374633101826649,0.03638723355436831,0.03399224473208693,0.03346311488690586,0.037406454176471024
0.05641633840480278,0.5714284590869163,0.07222112037661685,2025-11-28,0.04274605569972424,0.06177624746702428,0.07556250728666222,0.040521113216026444,0.03667627546127563,0.04261161798562596
0.08179249458010587,0.3735315757632263,0.14272035728374177,2025-12-03,0.052432693535048286,0.068645642371091,0.11462455597716008,0.05688855025988076,0.05331750151245144,0.05600526436230124
0.0354689723957093,0.7012347152596415,0.047618381424660725,2025-12-11,0.03300905187472466,0.03726591524708758,0.042756107625195,0.03434521584980004,0.029966793995009795,0.03829805276406446
