state,district,tehsil,village,lgd_code,khasra_no,guid
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,103,bf04a696-293c-4188-8521-e5bac4805492
Telangana,Adilabad,Adilabad Rural,Khandala,569010,13,98f7f1c1-bbec-45fd-a5f0-f67c36cfb2e9
Telangana,Adilabad,Adilabad Rural,Wanwat,569008,23,6a76c674-aa5e-4bef-bfa0-58981314d5c2
Telangana,Adilabad,Adilabad Rural,Kachkanti,568996,21/3,440ab014-ab22-4dc6-9111-1a97126dc2fb
Telangana,Adilabad,Adilabad Rural,Bheemseri,568982,24,c863d080-30f9-4852-8807-1bb4ac91a402
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,105/7,7f1209ef-7dec-4a54-9426-f21c03a3e494
Telangana,Adilabad,Adilabad Rural,Landasangvi,568985,37/3,0628d8c0-4bc4-462e-b0e0-acc5646fe412
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,98,4c0143b2-2088-49d9-b500-05acfd21f078
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,16/1,1a279a45-71fa-41dd-b777-8f1b42cca779
Telangana,Adilabad,Adilabad Rural,Bheemseri,568982,o/130580,c27fa235-9917-41c4-aa05-b890431932fa
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/78,1beec1e6-4c65-4a62-a5fe-be604aca4aca
Telangana,Adilabad,Adilabad Rural,Lokari,569000,31,07d32f1c-517b-42ee-b278-b8e4094fcd73
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,183,a8b3a7c5-7afb-4960-8b74-0d0d258e524b
Telangana,Adilabad,Adilabad Rural,Dimma,568978,18,cad4e18f-4840-42a0-9607-203ac41b3ad7
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,17,c0d2abcf-d25c-4073-ad12-05908324efe3
Telangana,Adilabad,Adilabad Rural,Wanwat,569008,16/5,09b647b1-7028-4e56-a5d7-c96bef4bd94c
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,105/2,7c81092e-6609-4245-9cff-c299676f481e
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,31,ddf76412-6652-42e8-8874-837860b17d12
Telangana,Adilabad,Adilabad Rural,Rampoor (Royati),568981,29,b8d39454-3d4a-4a5d-9b41-cb49f5ec61cf
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,2,a27ada14-8f5d-4479-bdb5-c2816e7eb2a8
Telangana,Adilabad,Adilabad Rural,Bheemseri,568982,o/130618,798c798f-6d4e-4dbb-bbef-5d24c507e4eb
Telangana,Adilabad,Adilabad Rural,Ramai,568990,8,0b8cd315-04d2-458b-be82-52b4b2c852c7
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/62,d5ee7b85-4403-4159-976a-384978947ac5
Telangana,Adilabad,Adilabad Rural,Takli,568988,7,94848458-59e8-4a06-a2c9-f9ceae17c894
Telangana,Adilabad,Adilabad Rural,Burnoor,568999,13/78,35ede279-6327-4c5e-8c5e-6e97d8fb20c6
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,92,07f37bb3-e1ce-4c91-b5e7-db63e0195f50
Telangana,Adilabad,Adilabad Rural,Nishaghat,568986,o/129624,d5075748-f433-42c2-931a-8ab021f3fd87
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,105/3,48c8f7d7-2356-497f-a637-1657a1a2ec74
Telangana,Adilabad,Adilabad Rural,Takli,568988,31,7403dfb7-af9d-4774-9472-4edb23b6095d
Telangana,Adilabad,Adilabad Rural,Kachkanti,568996,44,101d5728-c72f-420d-80d3-c2e04e863c6b
Telangana,Adilabad,Adilabad Rural,Maleborgaon,569003,16/9,49882be3-2f0f-41f3-8fef-3a8df7d89dd3
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/47,29f2f171-23da-4a3b-a74f-f9aa9864a766
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,100/1,9d679ec0-6112-439a-aecb-a0b356301bf3
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,72,f25acb61-d800-44f5-8210-9817bc924599
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,85,99b8ca90-e79a-46bd-9429-dfdac648072e
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,32/36,314036b3-b242-41e0-bcd1-b76f382b6bf3
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,48,296dc813-d547-4058-aebd-507630af254a
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/11,75b16df3-a68f-43f5-ac1b-221c3a7a2a69
Telangana,Adilabad,Adilabad Rural,Ramai,568990,83/14,cc6d17cc-b044-4a84-80e0-0dfe46f551f3
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/51,459e380e-6b03-4be0-a9de-432cb4c62a00
Telangana,Adilabad,Adilabad Rural,Ramai,568990,24,ce332fef-68b9-4845-895d-7d19b93d07b6
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,21,ea32c12e-e623-454d-830d-17b7e5253dcc
Telangana,Adilabad,Adilabad Rural,Landasangvi,568985,16/3,ba1f9130-a67f-41a2-b489-78f0b869dd3c
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,77,a1ab5d0b-4f13-4299-a1b3-a12bdef50e9a
Telangana,Adilabad,Adilabad Rural,Pippaldhari,569007,9,8afe49c2-c063-4928-8c55-d4b085a513ed
Telangana,Adilabad,Adilabad Rural,Chichdhari,569016,34,ea2bc58f-8794-47e3-b1bf-ab1becb4bb2a
Telangana,Adilabad,Adilabad Rural,Landasangvi,568985,60,bcf943fb-c8c2-4acd-8e51-f00467dde7c8
Telangana,Adilabad,Adilabad Rural,Burnoor,568999,13/40,8f215cd8-2b5e-4419-b2ce-042648f34311
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/35,b7bf6ba6-cb4d-42fe-8b1e-07836179e5bf
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,75,d449d105-fe91-4342-a04e-df61d3c7c688
Telangana,Adilabad,Adilabad Rural,Ankapur,569005,9,bc19e9dc-921b-4f53-9723-1239c3621622
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,68,a4a98920-7e07-45a5-9ef9-e38e863627de
Telangana,Adilabad,Adilabad Rural,Rampoor (Royati),568981,9,0f2556ce-c22d-4744-89e7-de7cf84d2e87
Telangana,Adilabad,Adilabad Rural,Bheemseri,568982,62,3c426cf8-ae35-4b1a-bb20-8799e26b397b
