EVI,NDVI,date
0.3655157288808478,0.5981985055328659,2025-02-26
0.3238790510317487,0.5649526405871768,2025-03-01
0.3166949774970701,0.5429996409149135,2025-03-06
0.341287389821028,0.5397599183219516,2025-03-08
0.312916428520762,0.4988543466579231,2025-03-13
0.28887707454083356,0.46241361508417034,2025-03-15
0.3124396098602344,0.4899062618841632,2025-03-18
0.2956098018992641,0.4873175330619261,2025-03-21
0.2743652563355688,0.4753783798579095,2025-03-26
0.29163211198143246,0.46552391199388143,2025-03-28
0.26546613083070847,0.4471013984372061,2025-03-31
0.2608124282810516,0.38863129477872366,2025-04-04
0.2781519183945694,0.43569264105442124,2025-04-07
0.2464216064334494,0.4526871983291593,2025-04-10
0.22668517976251396,0.3793919971116675,2025-04-15
0.24523297118236556,0.35260972662102547,2025-04-17
0.21271754875802432,0.3424732249076592,2025-04-17
0.20499399664403806,0.3368877345665187,2025-04-20
0.17966844829870884,0.2513692436704741,2025-04-24
0.16964057888344747,0.25486971438036965,2025-04-25
0.17016825678218378,0.25338014532861414,2025-04-30
0.17207121311969162,0.23694354165030834,2025-05-02
0.1856538667684019,0.25684501830749534,2025-05-07
0.16586487132092456,0.2687175862907878,2025-05-07
0.32239439399075015,0.4886521861112069,2025-06-01
0.30891781352991976,0.41852605046785313,2025-06-03
0.37955581608197847,0.3268839625680922,2025-09-07
0.41613497817576445,0.6069439483290675,2025-10-09
0.3819956100629165,0.5815105523152261,2025-10-17
0.38042141380514133,0.5686142936847094,2025-11-06
0.41506663811410816,0.5935088596261737,2025-11-08
0.392286818207192,0.6067573387616817,2025-11-11
0.4277269844880402,0.5860056136779296,2025-11-13
0.3843884573490505,0.5465049533570824,2025-11-18
0.3509960639370879,0.5552365614182301,2025-11-21
0.33424052931532294,0.5500779877073413,2025-11-23
0.3500084756919599,0.5387340030815767,2025-11-26
0.24720141152959801,0.43105231780688186,2025-12-01
0.24220413322388984,0.349567899952701,2025-12-03
0.21812569547802735,0.4248654937742579,2025-12-11
0.2235597039972509,0.38897560835158684,2025-12-13
0.21568578320314832,0.36509551192465517,2025-12-16
0.22460707078933304,0.39465304170104565,2025-12-18
0.20456253694553078,0.3961531731495213,2025-12-21
0.19666506355108695,0.3831833316650007,2025-12-26
0.2099976431506252,0.37699273054788596,2025-12-28
0.18427504323375113,0.3899173477998108,2026-01-05
0.19647526097769077,0.3553002564738939,2026-01-07
0.18367373935878795,0.3971263361999903,2026-01-10
0.18451532439734922,0.3451545329479416,2026-01-15
0.18887803367206912,0.31244968541333623,2026-01-20
0.20751870348795434,0.4379105411606642,2026-01-22
0.20995230196507103,0.3850087774628957,2026-01-27
0.19977296549505152,0.383863484565793,2026-01-30
0.20429366748209685,0.2691355626267968,2026-02-04
0.2449974986260247,0.4292840429814474,2026-02-06
0.2841798508146703,0.49048518699024246,2026-02-11
0.2912817809469576,0.4577740695541209,2026-02-14
0.30098756083391465,0.49523929546992945,2026-02-19
0.3543789608480789,0.5037210935193264,2026-02-21
