TASK ID              | TRUTH      | AI         | SCORE    | CONF     | CERT_TIER    | STATUS
------------------------------------------------------------------------------------------
UP1 (Crop)           | Active     | Active     | 82.83%   | 95.94%   | Very High    | ✅ MATCH
UP2 (Crop)           | Active     | Active     | 84.76%   | 93.73%   | Very High    | ✅ MATCH
UP3 (Crop)           | Active     | Active     | 82.27%   | 91.49%   | Very High    | ✅ MATCH
UP4 (Crop)           | Active     | Active     | 92.01%   | 85.54%   | Very High    | ✅ MATCH
UP5 (No-Crop)        | Inactive   | Inactive   | 99.72%   | 15.78%   | Very Low     | ✅ MATCH
UP6 (Crop)           | Active     | Active     | 85.4%    | 82.75%   | Very High    | ✅ MATCH
UP7 (No-Crop)        | Inactive   | Inactive   | 100.0%   | 15.34%   | Very Low     | ✅ MATCH
UP8 (Crop)           | Active     | Active     | 65.01%   | 88.0%    | Very High    | ✅ MATCH
UP9 (Crop)           | Active     | Active     | 74.38%   | 87.9%    | Very High    | ✅ MATCH
UP10 (Crop)          | Active     | Active     | 59.78%   | 64.01%   | Moderate     | ✅ MATCH
RJ01 (Crop)          | Active     | Active     | 59.56%   | 92.53%   | Very High    | ✅ MATCH
RJ02 (Crop)          | Active     | Active     | 54.57%   | 91.15%   | Very High    | ✅ MATCH
RJ03 (Crop)          | Active     | Active     | 28.53%   | 89.57%   | Very High    | ✅ MATCH
RJ04 (Crop)          | Active     | Active     | 78.39%   | 92.85%   | Very High    | ✅ MATCH
RJ05 (Crop)          | Active     | Active     | 29.09%   | 94.38%   | Very High    | ✅ MATCH
RJ06 (Crop)          | Active     | Active     | 30.19%   | 87.39%   | Very High    | ✅ MATCH
RJ07 (Crop)          | Active     | Active     | 88.64%   | 93.33%   | Very High    | ✅ MATCH
RJ08 (Crop)          | Active     | Inactive   | 12.36%   | 42.62%   | Low          | ❌ MISMATCH
RJ09 (No-Crop)       | Inactive   | Inactive   | 0.0%     | 87.37%   | Very High    | ✅ MATCH
RJ10 (Crop)          | Active     | Active     | 87.26%   | 86.05%   | Very High    | ✅ MATCH
MP01 (Crop)          | Active     | Active     | 96.96%   | 94.75%   | Very High    | ✅ MATCH
MP02 (No-Crop)       | Inactive   | Active     | 34.25%   | 81.54%   | Very High    | ❌ MISMATCH
MP03 (Crop)          | Active     | Active     | 96.41%   | 95.77%   | Very High    | ✅ MATCH
MP04 (Crop)          | Active     | Active     | 97.24%   | 97.16%   | Very High    | ✅ MATCH
MP05 (Crop)          | Active     | Active     | 85.36%   | 94.33%   | Very High    | ✅ MATCH
MP06 (No-Crop)       | Inactive   | Inactive   | 0.0%     | 59.16%   | Moderate     | ✅ MATCH
MP07 (Crop)          | Active     | Active     | 90.88%   | 94.59%   | Very High    | ✅ MATCH
MP08 (No-Crop)       | Inactive   | Inactive   | 48.9%    | 48.31%   | Low          | ✅ MATCH
MP09 (Crop)          | Active     | Active     | 85.64%   | 88.35%   | Very High    | ✅ MATCH
MP10 (No-Crop)       | Inactive   | Inactive   | 13.54%   | 22.96%   | Very Low     | ✅ MATCH
GJ01 (Crop)          | Active     | Active     | 98.6%    | 94.63%   | Very High    | ✅ MATCH
GJ02 (Crop)          | Active     | Active     | 69.66%   | 91.16%   | Very High    | ✅ MATCH
GJ03 (No-Crop)       | Inactive   | Active     | 84.21%   | 50.48%   | Moderate     | ❌ MISMATCH
GJ04 (Crop)          | Active     | Active     | 64.89%   | 87.96%   | Very High    | ✅ MATCH
GJ05 (Crop)          | Active     | Active     | 78.37%   | 95.75%   | Very High    | ✅ MATCH
GJ06 (No-Crop)       | Inactive   | Inactive   | 0.56%    | 82.31%   | Very High    | ✅ MATCH
GJ07 (Crop)          | Active     | Active     | 100.0%   | 92.2%    | Very High    | ✅ MATCH
