EVI,NDVI,date
0.2887007364033909,0.4291447527364583,2025-02-22
0.23921204198781135,0.33860198427892724,2025-03-04
0.17720054206767374,0.26414940355245575,2025-03-09
0.18562174351526628,0.2651135074174355,2025-03-14
0.189419223504626,0.25874602849753214,2025-03-19
0.20186439525604716,0.2624425373890431,2025-03-24
0.2140756583575778,0.2749480521711317,2025-03-29
0.20939252629907806,0.2760549281669327,2025-03-31
0.20545678267816125,0.27376988376417627,2025-04-03
0.18635035256014443,0.2412035986956317,2025-04-08
0.17931973779352406,0.22129379654794692,2025-04-13
0.186501040230641,0.24200162050232996,2025-04-18
0.1676096270839917,0.20209934929722065,2025-04-20
0.20527377315442427,0.25018236728790605,2025-04-23
0.17560285615965548,0.22221245361866418,2025-04-28
0.18557078901098362,0.24466501172116656,2025-05-10
0.19384345414952733,0.22687366297911465,2025-05-18
0.19286156630952733,0.2237914731908644,2025-05-23
0.167406138889229,0.18550481878044087,2025-05-30
0.17036122800817888,0.1899001727656805,2025-06-07
0.16789573637150365,0.1835725849862088,2025-06-12
0.15431714850770095,0.21880957572412582,2025-09-15
0.1823682300771495,0.2673324883803731,2025-09-25
0.16000394445123273,0.2324594105473229,2025-10-10
0.1516095161879089,0.24348155437893745,2025-10-15
0.15102874012398806,0.24159193645427274,2025-10-17
0.17281917518091675,0.249802230246493,2025-10-20
0.17564406974529048,0.28076388454621565,2025-10-25
0.2229905535569059,0.3304217675731006,2025-11-06
0.24907942130994953,0.35464422757759695,2025-11-09
0.25438809595253126,0.3608921495452754,2025-11-14
0.26200694445604045,0.3644083650526494,2025-11-19
0.2551306438120761,0.38108017920285264,2025-11-24
0.3557394476733534,0.5002433321615751,2025-12-04
0.3908740763037227,0.5244222985022821,2025-12-09
0.369642103661119,0.5165229273961183,2025-12-16
0.37164899394286377,0.5163291173889951,2025-12-19
0.3543676855186187,0.5292595350084837,2025-12-24
0.3617603823784157,0.5096881357369929,2025-12-29
0.3175446684155135,0.4632117362705047,2026-01-13
0.33076652043926286,0.4664280289389671,2026-01-18
0.27181088645758633,0.4173413850585478,2026-02-07
0.2556096627233564,0.3762996499678229,2026-02-17
