RVI,date
0.6743307230307901,2025-03-05
0.7152934615906918,2025-03-17
0.6893405631595279,2025-03-29
0.7069026950196919,2025-04-10
0.7186424739605529,2025-04-22
0.7177847881954416,2025-05-04
0.7329747602025142,2025-05-16
0.7128388431988474,2025-05-28
0.5948277607015479,2025-06-09
0.6316118947228478,2025-06-21
0.7092796122317628,2025-07-03
0.6477393688744659,2025-07-15
0.7830746859324547,2025-07-27
0.7517007317006448,2025-08-08
0.7133896768701402,2025-08-20
0.7861711047838366,2025-09-01
0.742269975890532,2025-09-13
0.7557459440178048,2025-09-25
0.7854003193139565,2025-10-07
0.7489850361322186,2025-10-19
0.762092185047159,2025-10-31
0.7348835907516653,2025-11-12
0.7547254147772133,2025-11-24
0.73818345237854,2025-12-06
0.7162603579006972,2025-12-18
0.720157970638879,2025-12-30
0.7269154781980562,2026-01-11
0.7932979208109932,2026-01-23
0.7307874059088952,2026-02-04
0.7519662366680755,2026-02-16
