RVI,date
0.7054127171463057,2025-03-03
0.5383850706384566,2025-03-15
0.34445913245609905,2025-03-27
0.33017795058290633,2025-04-08
0.3781771210275142,2025-04-20
0.3942177487990469,2025-05-02
0.47862353870809493,2025-05-14
0.41413643737937716,2025-05-26
0.3251352768041056,2025-06-07
0.3825508214483151,2025-06-19
0.43484873174975375,2025-07-01
0.6381569180048938,2025-07-13
0.7820111472094625,2025-07-25
0.8333521284438382,2025-08-06
0.5791344894203709,2025-08-18
1.1548197611771458,2025-08-30
0.960067361422714,2025-09-11
0.6877726530971516,2025-09-23
0.6406616303636707,2025-10-05
0.5350346678095732,2025-10-17
0.5662051573272074,2025-10-29
0.6485789332423685,2025-11-10
0.913201792241281,2025-11-22
1.2919614680241882,2025-12-04
1.2096322259162766,2025-12-16
0.8119498630717518,2025-12-28
0.9515432091544784,2026-01-09
0.8681256008845317,2026-01-21
1.036609115592316,2026-02-02
0.7547355570706957,2026-02-14
