RVI,date
0.8687925244816719,2025-03-05
0.7333101971322165,2025-03-17
0.8946388277260731,2025-03-29
0.7106118081107472,2025-04-10
0.7634359945091325,2025-04-22
0.8455381764451119,2025-05-04
0.7453326499310037,2025-05-16
0.7331317430289594,2025-05-28
1.0150531698227314,2025-06-09
0.5457013285853771,2025-06-21
0.29882606441659093,2025-07-03
0.31381665164114797,2025-07-15
0.4293647356243886,2025-07-27
0.4106220483921008,2025-08-08
0.717777364312987,2025-08-20
0.6960228814464928,2025-09-01
0.7122874568010096,2025-09-13
0.583700314987376,2025-09-25
0.5200678609236358,2025-10-07
0.7920867159768566,2025-10-19
0.6452157836354029,2025-10-31
0.7323280679480875,2025-11-12
0.8266705907880503,2025-11-24
0.600595492294201,2025-12-06
0.843344380935907,2025-12-18
0.8262739276896829,2025-12-30
0.7914390151525762,2026-01-11
0.5681299217313296,2026-01-23
0.6111594967420361,2026-02-04
0.6305725948386837,2026-02-16
