RVI,date
1.010023502872123,2025-02-19
1.317258178805182,2025-03-03
0.3969070755077517,2025-03-15
0.46686566212023334,2025-03-27
0.35362460431306075,2025-04-08
0.2527549516210757,2025-04-20
0.3151881901070727,2025-05-02
0.3016855827939738,2025-05-14
0.4273659308908116,2025-05-26
0.5364686941244842,2025-06-07
0.31366844581344216,2025-06-19
0.29297177444449035,2025-07-01
0.6158947255089842,2025-07-13
0.8086082604931643,2025-07-25
0.9173426289740431,2025-08-06
0.7429402437476665,2025-08-18
0.5228679723281731,2025-08-30
0.6153814600927835,2025-09-11
0.8054200612715128,2025-09-23
0.9232703981890736,2025-10-05
0.8187678673321905,2025-10-17
0.4685617653255714,2025-10-29
0.30740917360098213,2025-11-10
0.6976733598639755,2025-11-22
0.5553907379084605,2025-12-04
0.9868705555031773,2025-12-16
0.6771594095286592,2025-12-28
1.028293760375118,2026-01-09
0.9481895757566975,2026-01-21
1.313566084736292,2026-02-02
1.1725920739186244,2026-02-14
